gid,estado,cidade,via,hnum,nsvia,latitude,longitude,postcode
1,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,2003,DESARROLLO ESPECIAL GALERÍAS,21.929700656990363,-102.29813811598541,20110
2,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,2003B,DESARROLLO ESPECIAL GALERÍAS,21.929023300413817,-102.2981433774627,20110
3,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,2001A,DESARROLLO ESPECIAL GALERÍAS,21.928820042931676,-102.29813181209576,20110
4,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,2001,DESARROLLO ESPECIAL GALERÍAS,21.9285417882739,-102.29811597943922,20110
5,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,2000,DESARROLLO ESPECIAL GALERÍAS,21.927511649309587,-102.29805736521598,20110
6,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,SN,DESARROLLO ESPECIAL GALERÍAS,21.926076526207385,-102.29797570913377,20110
7,Aguascalientes,Aguascalientes,BOULEVARD LUIS DONALDO COLOSIO,SN,DESARROLLO ESPECIAL GALERÍAS,21.925471281812378,-102.29501100559267,20110
8,Aguascalientes,Aguascalientes,BOULEVARD LUIS DONALDO COLOSIO,792,DESARROLLO ESPECIAL GALERÍAS,21.92562874573101,-102.29240067079336,20110
9,Aguascalientes,Aguascalientes,BOULEVARD LUIS DONALDO COLOSIO,790,DESARROLLO ESPECIAL GALERÍAS,21.92561364583067,-102.29265101927481,20110
10,Aguascalientes,Aguascalientes,OTRO NINGUNO,117,DESARROLLO ESPECIAL GALERÍAS,21.929135104436654,-102.29570919196858,20110
11,Aguascalientes,Aguascalientes,OTRO NINGUNO,SN,DESARROLLO ESPECIAL GALERÍAS,21.928565337859045,-102.29453408221579,20110
12,Aguascalientes,Aguascalientes,OTRO NINGUNO,SN,DESARROLLO ESPECIAL GALERÍAS,21.92759710609389,-102.2918574640665,20110
13,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,2351,DESARROLLO ESPECIAL GALERÍAS,21.924392488375307,-102.29790719790674,20124
14,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,SN,DESARROLLO ESPECIAL GALERÍAS,21.923291499109794,-102.29779045489443,20124
15,Aguascalientes,Aguascalientes,CALLE ARTÍCULO 1O.,100,DESARROLLO ESPECIAL BULEVAR A ZACATECAS,21.91725200389248,-102.28699551963741,20124
16,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,SN,DESARROLLO ESPECIAL BULEVAR A ZACATECAS,21.915555517102785,-102.28948975676552,20124
17,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.918454035085066,-102.29262944188731,20124
18,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.91844936876752,-102.29283215972231,20124
19,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.918444958189387,-102.29302375683548,20124
20,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.918440303070366,-102.29322596562778,20124
21,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.91843577130832,-102.29342280493363,20124
22,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.918431109804366,-102.29362526820573,20124
23,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,809F,DESARROLLO ESPECIAL GALERÍAS,21.91842631267604,-102.29383360995044,20124
24,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.918422557160643,-102.29399670534214,20124
25,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.91841854245281,-102.29417104868173,20124
26,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.918413347239408,-102.29439664408288,20124
27,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.918409340870188,-102.29457060563728,20124
28,Aguascalientes,Aguascalientes,CALLE JORGE REYNOSO,SN,DESARROLLO ESPECIAL GALERÍAS,21.918404663199777,-102.29477370509805,20124
29,Aguascalientes,Aguascalientes,BOULEVARD A ZACATECAS,SN,DESARROLLO ESPECIAL GALERÍAS,21.918278527853715,-102.29204832137137,20124
30,Aguascalientes,Aguascalientes,BOULEVARD A ZACATECAS,SN,DESARROLLO ESPECIAL GALERÍAS,21.917018597141467,-102.2921340234633,20124
31,Aguascalientes,Aguascalientes,BOULEVARD A ZACATECAS,SN,DESARROLLO ESPECIAL GALERÍAS,21.916032391197312,-102.292195327478,20124
32,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,SN,DESARROLLO ESPECIAL GALERÍAS,21.915631641155123,-102.29248782920098,20124
33,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,780,DESARROLLO ESPECIAL GALERÍAS,21.915646718794566,-102.29268577653116,20124
34,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,780,DESARROLLO ESPECIAL GALERÍAS,21.91566048348567,-102.2928664897328,20124
35,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,739,DESARROLLO ESPECIAL GALERÍAS,21.91567328972792,-102.2930346222352,20124
36,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,SN,DESARROLLO ESPECIAL GALERÍAS,21.91634763693354,-102.29737971660481,20124
37,Aguascalientes,Aguascalientes,AVENIDA INDEPENDENCIA,1839,DESARROLLO ESPECIAL GALERÍAS,21.91761203638971,-102.29745590837827,20124
38,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,740,DESARROLLO ESPECIAL GALERÍAS,21.915691346397754,-102.29327169149069,20124
39,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,780A,DESARROLLO ESPECIAL GALERÍAS,21.91570735243035,-102.29351799811717,20124
40,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,SN,DESARROLLO ESPECIAL GALERÍAS,21.915720690361958,-102.29384422499217,20124
41,Aguascalientes,Aguascalientes,AVENIDA AGUASCALIENTES NORTE,SN,DESARROLLO ESPECIAL GALERÍAS,21.915736584596406,-102.29423299760673,20124
